<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.03	12:00:00	3129.1	3129.4	3126.95	3128.61
2025.04.03	12:15:00	3128.61	3129.64	3124.97	3125.75
2025.04.03	12:30:00	3125.68	3129.18	3124.4	3127.88
2025.04.03	12:45:00	3127.88	3128.27	3121.67	3121.67
2025.04.03	13:00:00	3121.68	3123.09	3112.4	3119.29
2025.04.03	13:15:00	3119.29	3119.9	3104.78	3107.63
2025.04.03	13:30:00	3107.64	3108.31	3101.15	3107.24
2025.04.03	13:45:00	3107.24	3112.95	3089.49	3095.6
2025.04.03	14:00:00	3095.59	3099.72	3087.85	3098.1
2025.04.03	14:15:00	3098.19	3100.01	3092	3092.27
2025.04.03	14:30:00	3092.23	3093.31	3085.37	3091.04
2025.04.03	14:45:00	3091.04	3097.36	3089.6	3093.18
2025.04.03	15:00:00	3093.18	3094.78	3087.46	3090.53
2025.04.03	15:15:00	3090.54	3091.03	3075.08	3078.61
2025.04.03	15:30:00	3078.69	3079.26	3062.14	3065.88
2025.04.03	15:45:00	3065.88	3080.3	3065.12	3076.4
2025.04.03	16:00:00	3076.32	3076.38	3054.27	3059.38
2025.04.03	16:15:00	3059.33	3069.7	3056.39	3065.41
2025.04.03	16:30:00	3065.4	3088.92	3064.08	3086.74
2025.04.03	16:45:00	3086.72	3093.45	3084.2	3086.19
2025.04.03	17:00:00	3086.11	3116.58	3086.11	3114.45
2025.04.03	17:15:00	3114.39	3126.69	3111.07	3125.35
2025.04.03	17:30:00	3125.45	3127.89	3117.79	3123.79
2025.04.03	17:45:00	3123.85	3135.49	3123.85	3128.88
2025.04.03	18:00:00	3128.92	3129.42	3110.35	3111.63
2025.04.03	18:15:00	3111.58	3113.47	3104.05	3106.38
2025.04.03	18:30:00	3106.5	3113.56	3105.63	3112.88
2025.04.03	18:45:00	3112.88	3112.93	3105.68	3110.67
2025.04.03	19:00:00	3110.69	3114.22	3104.2	3108.78
2025.04.03	19:15:00	3108.73	3109.4	3101.91	3108.49
2025.04.03	19:30:00	3108.51	3110.81	3106.52	3109.42
2025.04.03	19:45:00	3109.42	3110.67	3107.35	3107.58
2025.04.03	20:00:00	3107.59	3107.6	3102.13	3103.88
2025.04.03	20:15:00	3103.89	3105.58	3100.78	3100.96
2025.04.03	20:30:00	3101.02	3107.83	3100.11	3106.63
2025.04.03	20:45:00	3106.63	3109.88	3106.14	3109.56
2025.04.03	21:00:00	3109.56	3110.28	3106.98	3107.32
2025.04.03	21:15:00	3107.32	3108.44	3102.95	3104.93
2025.04.03	21:30:00	3104.94	3106.89	3102.19	3106.57
2025.04.03	21:45:00	3106.55	3111.72	3105.49	3111.66
2025.04.03	22:00:00	3111.65	3112.81	3110.25	3111.72
2025.04.03	22:15:00	3111.72	3113.26	3106.75	3107.2
2025.04.03	22:30:00	3107.21	3107.3	3102.59	3104.81
2025.04.03	22:45:00	3104.68	3108.18	3101.67	3107.57
2025.04.03	23:00:00	3107.58	3109.44	3107.42	3107.76
