<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.29	06:30:00	3312.58	3316.95	3312.49	3314.46	1175	0	7
2025.04.29	06:45:00	3314.46	3315.99	3307.99	3315.99	2049	0	7
2025.04.29	07:00:00	3315.99	3317.60	3314.31	3314.59	904	0	7
2025.04.29	07:15:00	3314.59	3316.29	3313.43	3316.13	873	0	7
2025.04.29	07:30:00	3316.13	3318.11	3313.06	3314.02	1168	0	7
2025.04.29	07:45:00	3314.02	3314.04	3306.75	3309.37	1449	0	7
2025.04.29	08:00:00	3309.37	3312.68	3307.79	3307.82	1282	0	7
2025.04.29	08:15:00	3307.82	3309.46	3305.20	3309.30	1644	0	7
2025.04.29	08:30:00	3309.28	3316.61	3307.95	3316.20	2255	0	7
2025.04.29	08:45:00	3316.20	3316.58	3310.21	3310.35	1253	0	7
2025.04.29	09:00:00	3310.35	3315.47	3308.93	3312.97	2261	0	7
2025.04.29	09:15:00	3312.97	3321.85	3312.94	3321.31	2307	0	7
2025.04.29	09:30:00	3321.31	3324.04	3318.67	3322.88	2469	0	7
2025.04.29	09:45:00	3322.88	3323.40	3315.24	3318.77	2202	0	7
2025.04.29	10:00:00	3318.77	3319.02	3312.38	3316.06	2040	0	7
2025.04.29	10:15:00	3316.07	3320.84	3315.02	3317.25	1771	0	7
2025.04.29	10:30:00	3317.25	3320.03	3314.95	3318.50	1765	0	7
2025.04.29	10:45:00	3318.50	3323.19	3318.10	3323.03	1686	0	7
2025.04.29	11:00:00	3323.04	3324.87	3319.28	3320.53	2145	0	7
2025.04.29	11:15:00	3320.53	3322.81	3318.40	3320.38	1664	0	7
2025.04.29	11:30:00	3320.38	3320.38	3315.30	3316.18	1448	0	7
2025.04.29	11:45:00	3316.18	3316.62	3311.78	3311.90	1441	0	7
2025.04.29	12:00:00	3311.90	3314.92	3311.68	3312.71	1520	0	7
2025.04.29	12:15:00	3312.72	3315.28	3308.76	3315.25	2096	0	7
2025.04.29	12:30:00	3315.25	3316.03	3310.60	3311.63	1891	0	7
2025.04.29	12:45:00	3311.68	3312.47	3308.83	3309.11	1748	0	7
2025.04.29	13:00:00	3309.08	3315.43	3309.02	3312.15	1728	0	7
2025.04.29	13:15:00	3312.15	3312.21	3306.22	3307.40	2124	0	7
2025.04.29	13:30:00	3307.40	3313.68	3307.13	3313.68	1796	0	7
2025.04.29	13:45:00	3313.69	3315.66	3312.01	3312.89	1835	0	7
2025.04.29	14:00:00	3312.89	3315.99	3310.54	3310.88	2010	0	7
2025.04.29	14:15:00	3310.88	3315.97	3310.59	3313.49	1869	0	7
2025.04.29	14:30:00	3313.49	3315.53	3312.64	3312.68	1423	0	7
2025.04.29	14:45:00	3312.68	3313.54	3307.91	3309.40	2260	0	7
2025.04.29	15:00:00	3309.40	3310.12	3306.05	3310.06	2476	0	7
2025.04.29	15:15:00	3310.06	3311.40	3300.56	3311.39	3291	0	7
2025.04.29	15:30:00	3311.39	3312.20	3303.80	3309.29	3406	0	7
2025.04.29	15:45:00	3309.29	3314.70	3307.06	3312.94	3547	0	7
2025.04.29	16:00:00	3312.94	3317.25	3309.36	3316.31	4607	0	7
2025.04.29	16:15:00	3316.31	3317.74	3311.96	3317.38	3435	0	7
2025.04.29	16:30:00	3317.20	3321.33	3310.75	3312.15	5081	0	7
2025.04.29	16:45:00	3312.08	3312.17	3299.78	3307.13	5199	0	7
2025.04.29	17:00:00	3307.13	3310.90	3299.67	3309.21	4830	0	7
2025.04.29	17:15:00	3309.21	3317.08	3306.85	3315.22	3808	0	7
2025.04.29	17:30:00	3315.22	3317.82	3311.39	3314.55	3252	0	7
2025.04.29	17:45:00	3314.55	3317.77	3311.50	3314.59	2950	0	7
2025.04.29	18:00:00	3314.59	3315.64	3308.98	3311.34	3039	0	7
2025.04.29	18:15:00	3311.34	3312.83	3308.50	3312.54	2972	0	7
2025.04.29	18:30:00	3312.54	3313.98	3305.31	3306.51	2548	0	7
2025.04.29	18:45:00	3306.32	3314.21	3305.75	3312.49	2203	0	7
2025.04.29	19:00:00	3312.49	3316.75	3312.27	3315.42	2010	0	7
2025.04.29	19:15:00	3315.42	3320.11	3314.08	3319.50	2167	0	7
2025.04.29	19:30:00	3319.50	3326.95	3318.02	3325.79	2548	0	7
2025.04.29	19:45:00	3325.79	3330.11	3324.78	3328.82	2616	0	7
2025.04.29	20:00:00	3328.82	3329.78	3325.49	3325.56	2033	0	7
2025.04.29	20:15:00	3325.59	3326.15	3322.04	3323.56	2129	0	7
2025.04.29	20:30:00	3323.56	3325.13	3322.33	3324.12	1533	0	7
2025.04.29	20:45:00	3324.12	3324.62	3314.25	3314.42	2511	0	7
2025.04.29	21:00:00	3314.42	3319.47	3313.30	3318.15	2413	0	7
2025.04.29	21:15:00	3318.15	3319.53	3314.42	3318.47	1949	0	7
2025.04.29	21:30:00	3318.47	3319.58	3317.33	3318.30	1150	0	7
2025.04.29	21:45:00	3318.30	3320.13	3316.98	3319.97	1369	0	7
2025.04.29	22:00:00	3319.97	3325.02	3319.95	3322.91	1486	0	7
2025.04.29	22:15:00	3322.91	3324.76	3319.58	3322.38	1351	0	7
2025.04.29	22:30:00	3322.34	3324.23	3320.98	3321.55	1435	0	7
2025.04.29	22:45:00	3321.53	3321.67	3318.04	3320.54	1736	0	7
2025.04.29	23:00:00	3320.53	3323.57	3319.85	3321.95	804	0	7
2025.04.29	23:15:00	3321.95	3322.78	3320.06	3320.51	805	0	7
2025.04.29	23:30:00	3320.51	3321.93	3318.86	3319.01	603	0	7
2025.04.29	23:45:00	3319.01	3319.77	3316.91	3317.28	720	0	17
2025.04.30	01:00:00	3313.81	3322.96	3313.45	3320.23	826	0	7
2025.04.30	01:15:00	3320.23	3321.56	3318.26	3318.27	292	0	7
2025.04.30	01:30:00	3318.27	3319.03	3316.22	3316.69	580	0	7
2025.04.30	01:45:00	3316.69	3320.52	3316.01	3319.06	385	0	7
2025.04.30	02:00:00	3319.06	3319.45	3312.24	3313.38	703	0	7
2025.04.30	02:15:00	3313.38	3317.87	3311.14	3316.46	581	0	7
2025.04.30	02:30:00	3316.46	3317.64	3312.81	3315.30	952	0	7
2025.04.30	02:45:00	3315.30	3317.42	3314.70	3317.15	465	0	7
2025.04.30	03:00:00	3317.22	3328.14	3316.36	3324.21	1847	0	7
2025.04.30	03:15:00	3324.23	3324.46	3318.47	3319.38	1397	0	7
2025.04.30	03:30:00	3319.38	3320.01	3314.09	3314.35	1429	0	7
2025.04.30	03:45:00	3314.36	3315.35	3311.50	3313.33	1690	0	7
2025.04.30	04:00:00	3313.34	3316.34	3308.41	3315.88	2436	0	7
2025.04.30	04:15:00	3315.88	3322.86	3314.26	3319.02	2686	0	7
2025.04.30	04:30:00	3319.02	3322.21	3316.30	3317.33	1977	0	7
2025.04.30	04:45:00	3317.33	3318.87	3307.81	3308.16	2152	0	7
2025.04.30	05:00:00	3308.11	3312.85	3305.95	3312.25	2414	0	7
2025.04.30	05:15:00	3312.25	3313.20	3310.30	3311.85	1029	0	7
2025.04.30	05:30:00	3311.85	3312.19	3307.16	3308.74	1793	0	7
2025.04.30	05:45:00	3308.74	3311.56	3305.22	3306.69	1883	0	7
2025.04.30	06:00:00	3306.69	3310.46	3304.93	3310.31	2038	0	7
2025.04.30	06:15:00	3310.31	3311.34	3307.78	3308.85	1206	0	7
2025.04.30	06:30:00	3308.85	3309.08	3303.78	3307.16	1253	0	7
2025.04.30	06:45:00	3307.16	3309.02	3304.39	3304.62	946	0	7
2025.04.30	07:00:00	3304.62	3306.14	3302.53	3305.60	1403	0	7
2025.04.30	07:15:00	3305.60	3306.30	3301.32	3302.66	1401	0	7
2025.04.30	07:30:00	3302.66	3306.33	3301.32	3305.87	1163	0	7
2025.04.30	07:45:00	3305.87	3308.97	3305.73	3307.99	1263	0	7
2025.04.30	08:00:00	3307.99	3313.19	3307.67	3312.35	1420	0	7
2025.04.30	08:15:00	3312.35	3314.32	3310.27	3313.95	1400	0	7
2025.04.30	08:30:00	3313.95	3314.76	3308.46	3309.00	2019	0	7
2025.04.30	08:45:00	3309.00	3310.36	3307.66	3309.65	1607	0	7
2025.04.30	09:00:00	3309.68	3311.34	3306.00	3308.39	2026	0	7
2025.04.30	09:15:00	3308.39	3310.14	3305.50	3305.60	2292	0	7
2025.04.30	09:30:00	3305.60	3309.52	3305.05	3308.98	1940	0	7
2025.04.30	09:45:00	3308.98	3309.62	3305.28	3305.95	1879	0	7
2025.04.30	10:00:00	3305.95	3308.39	3303.19	3308.25	2111	0	7
2025.04.30	10:15:00	3308.25	3312.46	3307.50	3311.02	1952	0	7
2025.04.30	10:30:00	3311.02	3314.71	3308.97	3314.20	2184	0	7
